0	53	-78	25	0	0	25	-78	53	0	
0	53	-78	25	0	0	25	-78	53	0	
0	52	-79	26	0	0	26	-79	52	0	
0	52	-79	27	0	0	27	-79	52	0	
0	52	-79	27	0	0	27	-79	52	0	
0	51	-79	28	0	0	28	-79	51	0	
0	51	-80	29	0	0	29	-80	51	0	
0	50	-80	30	0	0	30	-80	50	0	
0	50	-80	30	0	0	30	-80	50	0	
0	49	-80	31	0	0	31	-80	49	0	
0	49	-81	32	0	0	32	-81	49	0	
0	49	-81	32	0	0	32	-81	49	0	
0	48	-81	33	0	0	33	-81	48	0	
0	48	-81	34	0	0	34	-81	48	0	
0	47	-81	34	0	0	34	-81	47	0	
0	47	-81	35	0	0	35	-81	47	0	
0	46	-82	36	0	0	36	-82	46	0	
0	46	-82	36	0	0	36	-82	46	0	
0	45	-82	37	0	0	37	-82	45	0	
0	44	-82	37	0	0	37	-82	44	0	
0	44	-82	38	0	0	38	-82	44	0	
0	43	-82	39	0	0	39	-82	43	0	
0	43	-82	39	0	0	39	-82	43	0	
0	42	-82	40	0	0	40	-82	42	0	
0	42	-82	40	0	0	40	-82	42	0	
